Reuben Foster,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOS577594.png
T.J. Watt,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAT587616.png
David Njoku,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NJO355964.png
Tre'Davious White,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WHI547699.png
Jabrill Peppers,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PEP420619.png
Gareon Conley,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON240083.png
Evan Engram,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ENG726325.png
Charles Harris,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR348374.png
Corey Grant,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA399769.png
Scott Tolzien,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOL825549.png
Brian Hoyer,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOY440791.png
Robert Ayers,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AYE577722.png
Brian Cushing,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CUS363261.png
Keith Tandy,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAN126893.png
Randy Bullock,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUL521842.png
Marcus Smith,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI501228.png
Calais Campbell,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAM208843.png
Mitch Unrein,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/UNR404041.png
Christian Jones,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JON162414.png
Chris Boswell,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOS743355.png
Ameer Abdullah,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ABD647726.png
Kwon Alexander,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALE492854.png
Thomas Rawls,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RAW440791.png
Chris Smith,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI141571.png
Brock Coyle,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COY195645.png
Kerry Wynn,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WYN134240.png
Fletcher Cox,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COX200177.png
Akiem Hicks,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIC340209.png
Marwin Evans,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/EVA512840.png
Cameron Heyward,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HEY271611.png
